COUNTRY_NAME,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05
Djibouti,0,2,22,30,5,1,1,0,0,0,2,0,7,73,3
Eritrea,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0
Ethiopia,0,3,8,92,171,535,389,271,240,214,170,272,500,822,38
Kenya,0,16,47,84,193,236,134,285,473,201,93,93,297,571,57
Madagascar,0,0,6,14,86,86,38,14,7,10,20,19,133,221,12
Mauritius,2,5,0,0,0,0,0,0,0,0,0,0,2,5,0
Mayotte,1,3,17,13,5,1,2,2,5,6,6,48,53,8,0
Rwanda,0,0,1,1,3,11,13,6,14,43,104,65,46,28,0
Somalia,0,28,45,17,3,0,6,5,9,17,0,109,284,184,0
South Sudan,0,0,10,28,8,1,2,9,3,2,2,29,18,3,0
Sudan,0,29,267,306,148,71,13,1,428,311,236,80,203,254,0
Tanzania,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,0,0,0,0,4,28,43,37,93,60,60,9,1,7,0
